# time, x_vel, y_vel, z_vel, x_pos_tr, y_pos_tr, z_pos_tr, throttle, steering angle
4.555425096303224564e+00, -9.831777811050415039e-01, -4.732985496520996094e+00, -9.535154276818502694e-06, -1.711521148681640625e-01, -1.434255918487906456e+00, -8.140143414493650198e-03, 1.000000000000000000e+00, -5.812836847949711228e+00
4.605425097048282623e+00, -1.074362277984619141e+00, -5.106367111206054688e+00, 1.495045423507690430e-02, -2.144355773925781250e-01, -1.684207996353507042e+00, -7.879179378505796194e-03, 1.000000000000000000e+00, -3.118217359370959230e+00
4.655425097793340683e+00, -1.052613615989685059e+00, -5.491824626922607422e+00, 6.767041515558958054e-03, -2.587375640869140625e-01, -1.953368863090872765e+00, -7.409667072352021933e-03, 1.000000000000000000e+00, -4.047870232056340001e+00
4.705425098538398743e+00, -9.997567534446716309e-01, -5.872783660888671875e+00, 2.438844414427876472e-03, -3.028430938720703125e-01, -2.241462429985404015e+00, -7.203100656624883413e-03, 1.000000000000000000e+00, -6.379533981356928507e+00
4.755425099283456802e+00, -1.111218214035034180e+00, -6.218654632568359375e+00, 2.566100738476961851e-04, -3.515377044677734375e-01, -2.547274550423026085e+00, -7.123831135686486959e-03, 1.000000000000000000e+00, -7.200964574964075382e+00
4.805425100028514862e+00, -1.352747201919555664e+00, -6.520630836486816406e+00, -7.502830703742802143e-04, -4.093704223632812500e-01, -2.869028767570853233e+00, -7.089079765137284994e-03, 1.000000000000000000e+00, -4.078230413357232464e+01
4.855425100773572922e+00, -1.581219434738159180e+00, -6.822758197784423828e+00, -1.135598635300993919e-03, -4.771938323974609375e-01, -3.206173857674002647e+00, -7.072638196405023336e-03, 1.000000000000000000e+00, -8.074788092653250260e+00
4.905425101518630981e+00, -2.081995248794555664e+00, -6.967475414276123047e+00, -1.208485336974263191e-03, -5.608825683593750000e-01, -3.554667910560965538e+00, -7.003019971307367086e-03, 1.000000000000000000e+00, -2.934249133438783019e+00
4.955425102263689041e+00, -2.194778203964233398e+00, -7.297413825988769531e+00, -1.129972864873707294e-03, -6.559677124023437500e-01, -3.916304310783743858e+00, -6.954001204576343298e-03, 1.000000000000000000e+00, 9.179308242871009327e-02
5.005425103008747101e+00, -2.070417881011962891e+00, -7.662110805511474609e+00, -9.610863053239881992e-04, -7.499275207519531250e-01, -4.295676430687308311e+00, -6.942709384020417929e-03, 1.000000000000000000e+00, -3.482560657375358915e+00
5.055425103753805161e+00, -1.944755792617797852e+00, -8.023410797119140625e+00, -7.949458085931837559e-04, -8.422107696533203125e-01, -4.692333420738577843e+00, -6.936873251106590033e-03, 1.000000000000000000e+00, -6.999999237060546875e+01
5.105425104498863220e+00, -2.190525054931640625e+00, -8.283095359802246094e+00, -6.543212803080677986e-04, -9.432201385498046875e-01, -5.103144368156790733e+00, -6.926000991370528936e-03, 1.000000000000000000e+00, -1.818454305817249406e+01
5.155425105243921280e+00, -2.706990003585815430e+00, -8.387866973876953125e+00, -5.334727466106414795e-04, -1.061697006225585938e+00, -5.523334225639700890e+00, -6.863287591841071844e-03, 1.000000000000000000e+00, -1.514803989533925233e+01
5.205425105988979340e+00, -3.383427381515502930e+00, -8.306824684143066406e+00, -4.571724566631019115e-04, -1.206073760986328125e+00, -5.943617066368460655e+00, -6.658477184828370810e-03, 1.000000000000000000e+00, -6.329585517996520139e+00
5.255425106734037399e+00, -3.853081226348876953e+00, -8.378438949584960938e+00, -4.086576227564364672e-04, -1.372274398803710938e+00, -6.366616925224661827e+00, -6.461943907197564840e-03, 1.000000000000000000e+00, 1.080191259818846561e+00
5.305425107479095459e+00, -3.873704671859741211e+00, -8.696390151977539062e+00, -2.982786681968718767e-04, -1.547397613525390625e+00, -6.802045067772269249e+00, -6.388320063706487417e-03, 1.000000000000000000e+00, 9.135517413619282934e-01
5.355425108224153519e+00, -3.610706806182861328e+00, -9.069112777709960938e+00, -1.592942862771451473e-04, -1.719127655029296875e+00, -7.253951748833060265e+00, -6.350402196403592825e-03, 1.000000000000000000e+00, -7.159192824894375917e+00
5.405425108969211578e+00, -3.573066949844360352e+00, -9.376290321350097656e+00, -9.527525980956852436e-05, -1.891290664672851562e+00, -7.720269879326224327e+00, -6.326941715087741613e-03, 1.000000000000000000e+00, -3.329082215579433068e+01
5.455425109714269638e+00, -4.077846050262451172e+00, -9.413278579711914062e+00, -9.235749894287437201e-05, -2.080839157104492188e+00, -8.192733963951468468e+00, -6.288603821303695440e-03, 1.000000000000000000e+00, -1.824985245638117703e+01
5.505425110459327698e+00, -4.720505714416503906e+00, -9.269587516784667969e+00, -9.455058170715346932e-05, -2.295381546020507812e+00, -8.663562020286917686e+00, -6.167525367345660925e-03, 1.000000000000000000e+00, -2.719547094530662434e+01
5.555425111204385757e+00, -5.329916477203369141e+00, -8.928405761718750000e+00, -1.088342396542429924e-04, -2.536203384399414062e+00, -9.123358925804495811e+00, -5.869063490536063910e-03, 1.000000000000000000e+00, -5.024970520227043380e+00
5.605425111949443817e+00, -5.888582229614257812e+00, -8.348272323608398438e+00, -1.326912024524062872e-04, -2.798540115356445312e+00, -9.561568459495902061e+00, -5.298271251376718283e-03, 1.000000000000000000e+00, -2.268097600497071653e+01
5.655425112694501877e+00, -6.065660953521728516e+00, -8.173627853393554688e+00, -9.731577301863580942e-05, -3.076425552368164062e+00, -9.983296593651175499e+00, -4.726142564322799444e-03, 1.000000000000000000e+00, 8.724275100054626364e+00
5.705425113439559937e+00, -6.390615940093994141e+00, -7.863859653472900391e+00, 1.046578472596593201e-04, -3.365413665771484375e+00, -1.039703770540654659e+01, -4.265518335159868002e-03, 1.000000000000000000e+00, 1.020304240840710008e+01
5.755425114184617996e+00, -6.279623508453369141e+00, -7.934629917144775391e+00, 1.604003628017380834e-04, -3.663289070129394531e+00, -1.080374546907842159e+01, -3.916511719580739737e-03, 1.000000000000000000e+00, -1.470443729233045360e+01
5.805425114929676056e+00, -5.701170921325683594e+00, -8.213789939880371094e+00, 3.107125230599194765e-04, -3.946427345275878906e+00, -1.121799393557012081e+01, -3.606262558605521917e-03, 1.000000000000000000e+00, -6.122442636172479524e+00
5.855425115674734116e+00, -5.843973159790039062e+00, -8.072189331054687500e+00, 4.466456884983927011e-04, -4.228215217590332031e+00, -1.162957211397588253e+01, -3.346824960317462683e-03, 1.000000000000000000e+00, -1.457975362776971906e+01
5.905425116419792175e+00, -6.172523498535156250e+00, -7.769531250000000000e+00, 3.779544204007834196e-04, -4.526640892028808594e+00, -1.202639981172978878e+01, -3.167420101817697287e-03, 1.000000000000000000e+00, -1.224052519305485021e+01
5.955425117164850235e+00, -6.572705745697021484e+00, -7.316729068756103516e+00, 3.274180926382541656e-04, -4.840003013610839844e+00, -1.240679665468633175e+01, -2.996826719027012587e-03, 1.000000000000000000e+00, -3.244609747350136786e+01
6.005425117909908295e+00, -6.862499237060546875e+00, -6.969349861145019531e+00, 1.946887641679495573e-04, -5.166713714599609375e+00, -1.277006073854863644e+01, -2.831078309100121260e-03, 1.000000000000000000e+00, -3.271027446907282865e+00
6.055425118654966354e+00, -7.386697292327880859e+00, -6.544103145599365234e+00, 1.156423386419191957e-04, -5.510488510131835938e+00, -1.311722775362432003e+01, -2.772866224404424429e-03, 1.000000000000000000e+00, 4.597054293391522606e+00
6.105425119400024414e+00, -7.625546932220458984e+00, -6.748531818389892578e+00, 1.227174361702054739e-04, -5.874075889587402344e+00, -1.346325894258916378e+01, -3.066712000872939825e-03, 1.000000000000000000e+00, 9.181107623081629754e+00
